Depth CCSF-A (mcd),Al/Ti
0.04,1.77672956
0.06,0.599065421
0.08,0.515858209
0.1,0.543415756
0.12,0.542843466
0.14,0.510669253
0.16,0.462510531
0.18,0.528525787
0.2,0.499538745
0.22,0.729526672
0.24,0.536628946
0.26,0.637048193
0.28,0.514147688
0.3,0.614861032
0.32,0.613621897
0.34,0.657381616
0.36,0.427407762
0.38,0.715744681
0.4,0.692969871
0.42,0.641924399
0.44,0.516343826
0.46,0.611187845
0.48,0.607142857
0.5,0.584579072
0.52,0.675384615
0.54,0.829949239
0.56,1.134297521
0.58,3.221621622
0.6,1.511278195
0.62,1.650406504
0.64,0.851805729
0.66,0.673445671
0.68,0.782424563
0.7,0.767733836
0.72,0.72755418
0.74,0.648542601
0.76,0.571109872
0.78,0.494782075
0.8,0.680898876
0.82,0.631235154
0.84,0.581677704
0.86,0.611805256
0.88,0.627555556
0.9,0.701651572
0.92,0.66722973
0.94,0.633004926
0.96,0.605460385
0.98,0.545952526
1,0.513952308
1.02,0.533639144
1.04,0.500850822
1.06,0.605292172
1.08,0.602836879
1.1,0.58804205
1.12,0.674871795
1.14,0.552306989
1.16,0.665198238
1.18,0.582260372
1.2,0.572072072
1.22,0.539951574
1.24,0.409965035
1.26,0.391129032
1.28,0.437254902
1.3,0.391730605
1.32,0.36015625
1.34,0.346227499
1.36,0.416989778
1.38,0.354101765
1.4,0.435194672
1.42,0.581353768
1.44,0.523420239
1.54,0.634311512
1.56,0.606682578
1.58,0.650193382
1.6,0.68897929
1.62,0.735499651
1.64,0.626043922
1.66,0.650081833
1.68,0.741552511
1.7,0.631005448
1.72,0.556160939
1.74,0.621493105
1.76,0.575320513
1.78,0.565625
1.8,0.600464037
1.82,0.533730159
1.84,0.684121622
1.86,0.567735759
1.88,0.595189355
1.9,0.677576942
1.92,0.532570075
1.94,0.643792146
1.96,0.634568651
1.98,0.737257282
2,0.739194355
2.02,0.696469064
2.04,0.704440333
2.06,0.690210657
2.08,0.676767677
2.1,0.613040829
2.12,0.691553134
2.14,0.693281402
2.16,0.644390244
2.18,0.670080142
2.2,0.664288712
2.22,0.686058886
2.24,0.684076433
2.26,0.71892089
2.28,0.783484789
2.3,0.793425717
2.32,0.76056338
2.34,0.792425346
2.36,0.816871556
2.38,0.915544676
2.4,1.142857143
2.42,0.905504587
